combo_id,reel_id,reel_type,line_id,line_type
1,1,cast,1,braid
2,3,cast,1,braid
3,1,cast,1,braid
4,1,cast,8,flurocarbon
5,1,cast,9,flurocarbon
6,1,cast,8,flurocarbon
7,1,cast,9,flurocarbon
8,3,cast,8,flurocarbon
9,4,spin,4,flurocarbon
10,4,spin,4,flurocarbon
11,4,spin,5,flurocarbon
12,4,spin,6,flurocarbon
13,1,cast,6,flurocarbon
14,1,cast,7,flurocarbon
15,1,cast,9,flurocarbon
16,3,cast,6,flurocarbon
17,1,cast,3,flurocarbon
18,5,spin,4,flurocarbon
19,1,cast,7,flurocarbon
20,1,cast,10,flurocarbon
21,2,cast,2,monofilament
22,2,cast,2,monofilament
23,3,cast,2,monofilament
24,1,cast,2,monofilament
25,1,cast,11,monofilament
26,1,cast,12,monofilament
